Country,Region,CPI score 2023,Rank,Number of sources,Lower CI,Upper CI,Global Insights Country Risk Ratings,PRS International Country Risk Guide,Varieties of Democracy Project,World Justice Project Rule of Law Index
Denmark,WE/EU,90,1,8,87,93,83,100,79,88
Finland,WE/EU,87,2,8,85,89,83,93,78,86
New Zealand,AP,85,3,8,82,88,83,93,78,82
Norway,WE/EU,84,4,7,82,86,83,85,78,87
Singapore,AP,83,5,9,81,85,83,83,78,84
Sweden,WE/EU,82,6,8,78,86,83,93,78,86
Switzerland,WE/EU,82,6,7,79,85,71,85,77,
Netherlands,WE/EU,79,8,8,76,82,71,85,77,82
Germany,WE/EU,78,9,8,74,82,71,83,77,79
Luxembourg,WE/EU,78,9,8,76,80,71,85,77,80
Ireland,WE/EU,77,11,8,75,79,71,76,76,80
Canada,AME,76,12,8,73,79,71,76,76,79
Estonia,WE/EU,76,12,10,74,78,71,67,76,76
Australia,AP,75,14,9,73,77,83,76,77,79
Hong Kong,AP,75,14,8,71,79,59,67,72,73
Belgium,WE/EU,73,16,8,70,76,71,74,77,76
Japan,AP,73,16,9,70,76,71,67,75,80
Uruguay,AME,73,16,7,72,74,71,76,72,72
Iceland,WE/EU,72,19,7,66,78,71,76,77,
Austria,WE/EU,71,20,8,69,73,59,74,69,74
France,WE/EU,71,20,8,70,72,71,70,75,71
Seychelles,SSA,71,20,3,70,72,71,,71,
United Kingdom,WE/EU,71,20,8,68,74,71,74,75,80
Barbados,AME,69,24,3,63,75,71,,74,62
United States,AME,69,24,9,65,73,71,67,74,72
Bhutan,AP,68,26,4,64,72,71,,70,
United Arab Emirates,MENA,68,26,7,64,72,59,65,71,73
Taiwan,AP,67,28,8,64,70,71,59,63,
Chile,AME,66,29,9,63,69,71,59,74,65
Bahamas,AME,64,30,3,55,73,59,76,,57
Cabo Verde,SSA,64,30,3,59,69,71,,62,
"Korea, South",AP,63,32,10,61,65,59,64,69,71
Israel,MENA,62,33,6,58,66,59,50,69,
Lithuania,WE/EU,61,34,10,59,63,59,50,72,70
Portugal,WE/EU,61,34,8,58,64,59,65,68,65
Latvia,WE/EU,60,36,9,57,63,59,43,72,64
