Country,Item Type,Online,Order Priority,Order Date,Order ID,Units Sold,Unit Price,Total Revenue,Total Cost,Total Profit,Ship Date
Bangladesh,Clothes,1,L,1/13/2017,187310731,8263,109.28,902980.64,296145.92,606834.72,3/1/2017
Honduras,Household,0,H,2/8/2017,522840487,8974,668.27,5997054.98,4509793.96,1487261.02,2/13/2017
Mongolia,Personal Care,0,C,2/19/2014,832401311,4901,81.73,400558.73,277739.67,122819.06,2/23/2014
Bulgaria,Clothes,1,M,4/23/2012,972292029,1673,109.28,182825.44,59960.32,122865.12,6/3/2012
Sri Lanka,Cosmetics,0,M,11/19/2016,419123971,6952,437.2,3039414.4,1830670.16,1208744.24,12/18/2016
Cameroon,Beverages,0,C,4/1/2015,519820964,5430,47.45,257653.5,172619.7,85033.8,4/18/2015
Turkmenistan,Household,0,L,12/30/2010,441619336,3830,668.27,2559474.1,1924728.2,634745.9,1/20/2011
East Timor,Meat,1,L,7/31/2012,322067916,5908,421.89,2492526.12,2154588.52,337937.6,9/11/2012
Norway,Baby Food,1,L,5/14/2014,819028031,7450,255.28,1901836,1187679,714157,6/28/2014
Portugal,Baby Food,1,H,7/31/2015,860673511,1273,255.28,324971.44,202941.66,122029.78,9/3/2015
Honduras,Snacks,1,L,6/30/2016,795490682,2225,152.58,339490.5,216804,122686.5,7/26/2016
New Zealand,Fruits,1,H,9/8/2014,142278373,2187,9.33,20404.71,15134.04,5270.67,10/4/2014
Moldova ,Personal Care,1,L,5/7/2016,740147912,5070,81.73,414371.1,287316.9,127054.2,5/10/2016
France,Cosmetics,1,H,5/22/2017,898523128,1815,437.2,793518,477943.95,315574.05,6/5/2017
Kiribati,Fruits,1,M,10/13/2014,347140347,5398,9.33,50363.34,37354.16,13009.18,11/10/2014
Mali,Fruits,1,L,5/7/2010,686048400,5822,9.33,54319.26,40288.24,14031.02,5/10/2010
Norway,Beverages,0,C,7/18/2014,435608613,5124,47.45,243133.8,162891.96,80241.84,7/30/2014
The Gambia,Household,0,L,5/26/2012,886494815,2370,668.27,1583799.9,1191019.8,392780.1,6/9/2012
Switzerland,Cosmetics,0,M,9/17/2012,249693334,8661,437.2,3786589.2,2280701.13,1505888.07,10/20/2012
South Sudan,Personal Care,0,C,12/29/2013,406502997,2125,81.73,173676.25,120423.75,53252.5,1/28/2014
Australia,Office Supplies,1,C,10/27/2015,158535134,2924,651.21,1904138.04,1534983.04,369155,11/25/2015
Myanmar,Household,0,H,1/16/2015,177713572,8250,668.27,5513227.5,4145955,1367272.5,3/1/2015
Djibouti,Snacks,1,M,2/25/2017,756274640,7327,152.58,1117953.66,713942.88,404010.78,2/25/2017
Costa Rica,Personal Care,0,L,5/8/2017,456767165,6409,81.73,523807.57,363198.03,160609.54,5/21/2017
Syria,Fruits,1,L,11/22/2011,162052476,3784,9.33,35304.72,26185.28,9119.44,12/3/2011
The Gambia,Meat,1,M,1/14/2017,825304400,4767,421.89,2011149.63,1738477.23,272672.4,1/23/2017
Brunei,Office Supplies,1,L,4/1/2012,320009267,6708,651.21,4368316.68,3521431.68,846885,5/8/2012
Bulgaria,Office Supplies,1,M,2/16/2012,189965903,3987,651.21,2596374.27,2093015.52,503358.75,2/28/2012
Niger,Personal Care,1,H,3/11/2017,699285638,3015,81.73,246415.95,170860.05,75555.9,3/28/2017
Azerbaijan,Cosmetics,1,M,2/6/2010,382392299,7234,437.2,3162704.8,1904929.22,1257775.58,2/25/2010
The Gambia,Cereal,0,H,6/7/2012,994022214,2117,205.7,435466.9,247921.87,187545.03,6/8/2012
Slovakia,Vegetables,1,H,10/6/2012,759224212,171,154.06,26344.26,15549.03,10795.23,11/10/2012
Myanmar,Clothes,1,H,11/14/2015,223359620,5930,109.28,648030.4,212531.2,435499.2,11/18/2015
Comoros,Cereal,0,H,3/29/2016,902102267,962,205.7,197883.4,112659.82,85223.58,4/29/2016
Iceland,Cosmetics,1,C,12/31/2016,331438481,8867,437.2,3876652.4,2334947.11,1541705.29,12/31/2016
Switzerland,Personal Care,1,M,12/23/2010,617667090,273,81.73,22312.29,15470.91,6841.38,1/31/2011
Macedonia,Clothes,0,C,10/14/2014,787399423,7842,109.28,856973.76,281057.28,575916.48,11/14/2014
Mauritania,Office Supplies,0,C,1/11/2012,837559306,1266,651.21,824431.86,664599.36,159832.5,1/13/2012
Albania,Clothes,1,C,2/2/2010,385383069,2269,109.28,247956.32,81320.96,166635.36,3/18/2010
Lesotho,Fruits,1,L,8/18/2013,918419539,9606,9.33,89623.98,66473.52,23150.46,9/18/2013
Saudi Arabia,Cereal,1,M,3/25/2013,844530045,4063,205.7,835759.1,475817.93,359941.17,3/28/2013
Sierra Leone,Office Supplies,0,M,11/26/2011,441888415,3457,651.21,2251232.97,1814786.72,436446.25,1/7/2012
Sao Tome and Principe,Fruits,0,H,9/17/2013,508980977,7637,9.33,71253.21,52848.04,18405.17,10/24/2013
Cote d'Ivoire,Clothes,1,C,6/8/2012,114606559,3482,109.28,380512.96,124794.88,255718.08,6/27/2012
Fiji,Clothes,0,C,6/30/2010,647876489,9905,109.28,1082418.4,354995.2,727423.2,8/1/2010
Austria,Cosmetics,0,H,2/23/2015,868214595,2847,437.2,1244708.4,749700.51,495007.89,3/2/2015
United Kingdom,Household,1,L,1/5/2012,955357205,282,668.27,188452.14,141716.28,46735.86,2/14/2012
Djibouti,Cosmetics,0,H,4/7/2014,259353148,7215,437.2,3154398,1899925.95,1254472.05,4/19/2014
Australia,Cereal,0,H,6/9/2013,450563752,682,205.7,140287.4,79869.02,60418.38,7/2/2013
San Marino,Baby Food,1,L,6/26/2013,569662845,4750,255.28,1212580,757245,455335,7/1/2013
Cameroon,Office Supplies,1,M,11/7/2011,177636754,5518,651.21,3593376.78,2896729.28,696647.5,11/15/2011
Libya,Clothes,0,H,10/30/2010,705784308,6116,109.28,668356.48,219197.44,449159.04,11/17/2010
Haiti,Cosmetics,0,H,10/13/2013,505716836,1705,437.2,745426,448977.65,296448.35,11/16/2013
Rwanda,Cosmetics,0,H,10/11/2013,699358165,4477,437.2,1957344.4,1178928.41,778415.99,11/25/2013
Gabon,Personal Care,0,L,7/8/2012,228944623,8656,81.73,707454.88,490535.52,216919.36,7/9/2012
Belize,Clothes,0,M,7/25/2016,807025039,5498,109.28,600821.44,197048.32,403773.12,9/7/2016
Lithuania,Office Supplies,0,H,10/24/2010,166460740,8287,651.21,5396577.27,4350343.52,1046233.75,11/17/2010
Madagascar,Clothes,0,L,4/25/2015,610425555,7342,109.28,802333.76,263137.28,539196.48,5/28/2015
Turkmenistan,Office Supplies,1,M,4/23/2013,462405812,5010,651.21,3262562.1,2630049.6,632512.5,5/20/2013
Libya,Fruits,1,L,8/14/2015,816200339,673,9.33,6279.09,4657.16,1621.93,9/30/2015
Democratic Republic of the Congo,Beverages,1,C,5/26/2011,585920464,5741,47.45,272410.45,182506.39,89904.06,7/15/2011
Brazil,Cereal,1,H,5/20/2017,555990016,8656,205.7,1780539.2,1013704.16,766835.04,6/17/2017
Pakistan,Cosmetics,0,L,7/5/2013,231145322,9892,437.2,4324782.4,2604860.36,1719922.04,8/16/2013
Mexico,Household,0,C,11/6/2014,986435210,6954,668.27,4647149.58,3494663.16,1152486.42,12/12/2014
Federated States of Micronesia,Beverages,1,C,10/28/2014,217221009,9379,47.45,445033.55,298158.41,146875.14,11/15/2014
Laos,Vegetables,0,C,9/15/2011,789176547,3732,154.06,574951.92,339350.76,235601.16,10/23/2011
Monaco,Baby Food,0,H,5/29/2012,688288152,8614,255.28,2198981.92,1373243.88,825738.04,6/2/2012
Samoa ,Cosmetics,1,H,7/20/2013,670854651,9654,437.2,4220728.8,2542187.82,1678540.98,8/7/2013
Spain,Household,0,L,10/21/2012,213487374,4513,668.27,3015902.51,2267963.02,747939.49,11/30/2012
Lebanon,Clothes,1,L,9/18/2012,663110148,7884,109.28,861563.52,282562.56,579000.96,10/8/2012
Iran,Cosmetics,1,H,11/15/2016,286959302,6489,437.2,2836990.8,1708748.37,1128242.43,12/8/2016
Zambia,Snacks,1,L,1/4/2011,122583663,4085,152.58,623289.3,398042.4,225246.9,1/5/2011
Kenya,Vegetables,1,L,3/18/2012,827844560,6457,154.06,994765.42,587135.01,407630.41,4/7/2012
Mexico,Personal Care,0,L,2/17/2012,430915820,6422,81.73,524870.06,363934.74,160935.32,3/20/2012
Sao Tome and Principe,Beverages,0,C,1/16/2011,180283772,8829,47.45,418936.05,280673.91,138262.14,1/21/2011
The Gambia,Baby Food,0,M,2/3/2014,494747245,5559,255.28,1419101.52,886215.78,532885.74,3/20/2014
Kuwait,Fruits,1,M,4/30/2012,513417565,522,9.33,4870.26,3612.24,1258.02,5/18/2012
Slovenia,Beverages,0,C,10/23/2016,345718562,4660,47.45,221117,148141.4,72975.6,11/25/2016
Sierra Leone,Office Supplies,0,H,12/6/2016,621386563,948,651.21,617347.08,497662.08,119685,12/14/2016
Australia,Beverages,,H,7/7/2014,240470397,9389,47.45,445508.05,298476.31,147031.74,7/11/2014
Azerbaijan,Office Supplies,,M,6/13/2012,423331391,2021,651.21,1316095.41,1060944.16,255151.25,7/24/2012
Romania,Cosmetics,,H,11/26/2010,660643374,7910,437.2,3458252,2082940.3,1375311.7,12/25/2010
Nicaragua,Beverages,,C,2/8/2011,963392674,8156,47.45,387002.2,259279.24,127722.96,3/21/2011
Mali,Clothes,,M,7/26/2011,512878119,888,109.28,97040.64,31825.92,65214.72,9/3/2011
Malaysia,Fruits,,L,11/11/2011,810711038,6267,9.33,58471.11,43367.64,15103.47,12/28/2011
Sierra Leone,Vegetables,,C,6/1/2016,728815257,1485,154.06,228779.1,135031.05,93748.05,6/29/2016
Mexico,Personal Care,,M,7/30/2015,559427106,5767,81.73,471336.91,326815.89,144521.02,8/8/2015
Mozambique,Household,,L,2/10/2012,665095412,5367,668.27,3586605.09,2697132.18,889472.91,2/15/2012
